incterm,ents
Thicket,WOODLAND
Thorn forest,WOODLAND
Thorofare,"ROAD, WATERCOURSE"
Thoroughfare,"ROAD, WATERCOURSE"
Threshold light,BEACON
Throughfare,"ROAD, WATERCOURSE"
Thruway,ROAD
Tidal basin,BASIN
Tidal flat,FLAT
Tidal harbor,HARBOR
Tidal light,BEACON
Tidal marsh,WETLAND
Tidal quay,WHARF
Tide gate,GATE
Tide limit,BOUNDARY
Tide lock,LOCK
Tide signal,BEACON
Tide rips,OVERFALLS
Tide station,"BUILDING, BUILDING COMPLEX"
Tideway,WATERCOURSE
Timber line,BOUNDARY
Toll gate,GATE
Tollroad,ROAD
Tombolo,"BAR, ISLAND"
Tongue,"BAR, PENINSULA"
Topmark buoy,BUOY
Torrent,WATERCOURSE
Tourist cabin,BUILDING
Tourist lodge,BUILDING
Town,PLACE
Town hall,BUILDING
Town limits,BOUNDARY
Track,"RAILWAY, ROAD"
Traffic circle,INTERSECTION
Traffic sign,SIGN
Trail,ROAD
Trailer,MOBILE HOME
Trailer park,MOBILE HOME PARK
Training wall,BREAKWATER
Tramway,CABLEWAY
Transformer station,"BUILDING, BUILDING COMPLEX"
Transmission line,UTILITY
Transmitter station,"BUILDING, BUILDING COMPLEX"
Transobuoy,BUOY
Transponder beacon,BEACON
Transverse bar,BAR
Tree line,BOUNDARY
Trench,"VALLEY, TROUGH"
Trestle,BRIDGE
Triangulation station,CONTROL POINT
Tributary,WATERCOURSE
Tropical rain forest,WOODLAND
Truck farm,CROPLAND
Truck garden,CROPLAND
Trumpet buoy,BUOY
Trunk buoy,BUOY
Tulelands,WETLAND
Tunny nets,FISH TRAP
Turning buoy,BUOY
Turnpike,ROAD
Unattended light,BEACON
Underpass,TUNNEL
Undulating light,BEACON
University,BUILDING COMPLEX
Unwatched light,BEACON
Urban area,PLACE
Utilidor,UTILITY
Veld,GRASSLAND
Vertical control point,CONTROL POINT
Vertical control monument,CONTROL POINT
Viaduct,BRIDGE
Village,PLACE
Vineyard,CROPLAND
Volcano,MOUNT
Volcanic dike,RIDGE
Wadi,WATERCOURSE
Walk,ROAD
Warehouse,BUILDING
Warning beacon,BEACON
Warning light,BEACON
Warning radiobeacon,BEACON
Warping buoy,BUOY
Wash,WATERCOURSE
Watched light,BEACON
Water gap,"VALLEY, WATERCOURSE"
Water hole,WELL
Water intake tower,TOWER
Water lane,"RUNWAY, LANE"
Water tower,TOWER
Waterway,LANE
Wave basin,"BREAKWATER, BASIN"
Wave trap,BREAKWATER
Way,"LANE, ROAD"
Way point,CONTROL POINT
Wayside park,PARK
Weak light,BEACON
Weir,"FISH TRAP, DAM"
Weir jetty,BREAKWATER
Wetdock,BERTH
Whistle buoy,BUOY
Winged headland,PENINSULA
Winter buoy,BUOY
Winter light,BEACON
Winter marker,BEACON
Winter road,ROAD
Wood,WOODLAND
Wooded area,WOODLAND
Woods,WOODLAND
Wreck buoy,BUOY
Wrecking yard,DUMPING GROUND
Zoo,PARK
